	TOKA-006-10	TOKA-006-40	TOKA-007-10	TOKA-007-40	TOKA-013-10	TOKA-013-40	TOKA-016-10	TOKA-016-40	TOKA-018-10	TOKA-018-40	TOKA-022-10	TOKA-022-40	TOKA-029-10	TOKA-029-40	TOKA-030-10	TOKA-030-40	TOKA-034-10	TOKA-034-40	TOKA-041-10	TOKA-041-40	TOKA-055-10	TOKA-055-40	TOKA-057-10	TOKA-057-40	TOKA-060-10	TOKA-060-40	TOKA-061-10	TOKA-061-40	TOKA-064-10	TOKA-064-40	TOKA-067-10	TOKA-067-40	TOKA-068-10	TOKA-068-40	TOKA-080-10	TOKA-080-40	TOKA-089-10	TOKA-089-40	TOKA-099-10	TOKA-099-40	TOKA-104-10	TOKA-104-40	TOKA-111-10	TOKA-111-40	TOKA-115-10	TOKA-115-40	TOKA-119-10	TOKA-119-40	TOKA-126-10	TOKA-126-40	TOKA-129-10	TOKA-129-40	TOKA-135-10	TOKA-135-40	TOKA-137-10	TOKA-137-40	TOKA-169-10	TOKA-169-40	TOKA-170-10	TOKA-170-40
TOKA-006-10	0.0	0.6825106642291285	0.6998377501352082	0.7318125770653514	0.8871692461308038	0.8946488294314381	0.8428571428571429	0.820341047503045	0.8803370786516854	0.8560807222517259	0.9015945330296128	0.8453445554971067	0.8510917030567685	0.8610526315789474	0.8346055979643766	0.8361963190184049	0.9249067164179104	0.9207484865162355	0.8755736868944416	0.9079718640093787	0.835245046923879	0.8126888217522659	0.8476972184222527	0.8633049817739976	0.9167652859960552	0.9026303645592986	0.9102443609022557	0.90216271884655	0.9027902790279028	0.882445967316816	0.9332247557003257	0.9225206611570248	0.8938371569950517	0.8631178707224335	0.8515513126491647	0.8309929789368105	0.935210181257231	0.9481939163498099	0.9990300678952473	0.8584615384615385	0.8193430656934306	0.7821612349914236	0.7954430379746835	0.8271537622682661	0.8675388389206868	0.8357531760435571	0.8539971278123504	0.8380044843049327	0.9099242726185731	0.907088122605364	0.8770877944325481	0.8698661744347024	0.892444101773323	0.8929539295392954	0.8909249563699826	0.8985355648535565	0.8152866242038217	0.8042024832855779	0.8788694481830417	0.860347728547392
TOKA-006-40	0.6825106642291285	0.0	0.7598814229249012	0.7047904191616766	0.8843764930721453	0.8534577387486278	0.8623725671918443	0.8372225384177575	0.8757364756293519	0.8142707240293809	0.9066029539530843	0.7996870109546166	0.8422165820642978	0.7970323264440912	0.8351020408163266	0.7741738066095472	0.9331858407079646	0.8970117395944504	0.8576371725160653	0.8478642480983031	0.8596491228070176	0.7580645161290323	0.8660637381567614	0.814748201438849	0.8941450174486235	0.8688524590163934	0.8977272727272727	0.8645357686453576	0.8842105263157894	0.8153273017562533	0.9259259259259259	0.8984924623115578	0.906183368869936	0.822808671065033	0.8710112359550561	0.8129566488066244	0.9254122938530734	0.9337931034482758	0.9982394366197183	0.8047155304971809	0.8210065645514223	0.7200915855752719	0.8127090301003345	0.7523493642896628	0.8686073957513769	0.7974797479747975	0.8584474885844748	0.811886586695747	0.9210026585643752	0.8799249530956847	0.8887983706720978	0.8407441016333939	0.8900894187779433	0.8424626527840652	0.8817567567567568	0.8586171310629515	0.8071833648393195	0.7723424270931326	0.8819742489270386	0.8109010011123471
TOKA-007-10	0.6998377501352082	0.7598814229249012	0.0	0.721424774056353	0.8485254691689008	0.8921102661596958	0.7746478873239436	0.8142189932537623	0.8490658800393314	0.8507119889756546	0.8622680412371134	0.832415059687787	0.8103035143769968	0.8618033529678296	0.7791798107255521	0.8463514902363823	0.8973399833748961	0.908274231678487	0.8577181208053691	0.912444663059518	0.7837965143664626	0.8058252427184466	0.7843551797040169	0.875886524822695	0.8858480374504861	0.8959092750101255	0.8703939008894537	0.8923626619026351	0.8729773462783171	0.8982142857142857	0.9108256880733945	0.917741218319253	0.8514729950900164	0.833546189868029	0.8015665796344648	0.820862676056338	0.9029640084685956	0.9355777223607648	0.9985486211901307	0.8373983739837398	0.7301038062283737	0.7906295754026355	0.7369152385363594	0.8189981096408318	0.820279984865683	0.8144833197721725	0.7797062750333779	0.8038537549407114	0.8457506551853239	0.8912310286677909	0.8134238913304035	0.853688524590164	0.8388608507570295	0.8884034948371724	0.8467677573822825	0.8955895589558955	0.783641160949868	0.8026868178001679	0.8052874527906001	0.8468992248062015
TOKA-007-40	0.7318125770653514	0.7047904191616766	0.721424774056353	0.0	0.9095354523227384	0.8746454906409529	0.8680154142581888	0.8346361996392062	0.8866554997208264	0.8211159737417943	0.9164420485175202	0.803921568627451	0.8521587440034889	0.8208061002178649	0.857914416285833	0.801010739102969	0.9348729792147806	0.9063545150501672	0.8836032388663968	0.8750754375377188	0.8802605210420842	0.7921146953405018	0.8799291094373062	0.8270676691729323	0.9090548054011119	0.8888369920597852	0.9066918001885014	0.8873239436619719	0.9174434087882823	0.8663816141101015	0.941010101010101	0.9141519250780437	0.9172535211267606	0.8194375925012334	0.8840982846546129	0.8150406504065041	0.9405446873801304	0.9482185273159145	0.999031007751938	0.8352510460251046	0.8579620644022938	0.7045592705167173	0.8229475766567754	0.7603686635944701	0.8880417335473515	0.8278538812785388	0.8702830188679245	0.8168853394181403	0.9299960891669926	0.8879688261081344	0.902510460251046	0.8615241635687733	0.8980061349693251	0.862708719851577	0.8914559721011334	0.8822281167108753	0.8330921369995176	0.8025812619502868	0.8967343336275375	0.8152680652680653
TOKA-013-10	0.8871692461308038	0.8843764930721453	0.8485254691689008	0.9095354523227384	0.0	0.7658843732112193	0.7396301849075462	0.7668030391583869	0.7045454545454546	0.8011334363730036	0.7258382642998028	0.7906026557711952	0.730072463768116	0.8436417615042059	0.7414907367514002	0.8416340235030778	0.7799113737075333	0.828116419549698	0.6941241076331686	0.8431818181818181	0.7910597689603215	0.8411172161172161	0.7329892069450962	0.8549019607843137	0.7314211212516297	0.8260469397146801	0.7311608961303462	0.809400826446281	0.76548463356974	0.8704433497536945	0.7766097240473062	0.8367662203913491	0.7561436672967864	0.8141470180305131	0.7982292637465052	0.8244131455399061	0.7625474483340363	0.8349609375	0.99833748960931	0.7968906720160481	0.7804770318021201	0.8666338582677166	0.778362853039732	0.8362543815723585	0.72265625	0.7864421798848028	0.7260545905707196	0.7826558265582656	0.7356521739130435	0.8140096618357487	0.713759779107225	0.7838589981447124	0.6971770744225834	0.8332592263228101	0.6566056407718951	0.7903397027600849	0.7824248120300752	0.8186231244483672	0.6429659725749112	0.7996733805117039
TOKA-013-40	0.8946488294314381	0.8534577387486278	0.8921102661596958	0.8746454906409529	0.7658843732112193	0.0	0.8614307153576788	0.8066581306017926	0.740983606557377	0.717016029593095	0.8414271555996036	0.7612375948628137	0.793965110796794	0.7044609665427509	0.8364506307090039	0.7523939808481532	0.8928571428571429	0.7724317295188556	0.6904176904176904	0.6818851251840943	0.8744791666666667	0.7819829424307037	0.8580735225686366	0.7875927174645988	0.7704691812327507	0.7376779846659365	0.787257019438445	0.7329230769230769	0.8344011828486939	0.8084982537834692	0.851150202976996	0.8046318289786223	0.8803378695448146	0.7864992150706437	0.8751205400192864	0.8014861995753716	0.8338394793926247	0.8325150027277687	0.9989561586638831	0.7146268656716418	0.8568181818181818	0.8005830903790088	0.8487269096355466	0.7534493101379725	0.8176238491889523	0.7584661354581673	0.8342541436464088	0.7699876998769988	0.8725116476069462	0.7652319731693683	0.8439909297052154	0.7100977198697068	0.8195615514333895	0.7235641438539989	0.7679640718562875	0.684993531694696	0.8132591093117408	0.755885363357216	0.8246124031007752	0.7086354647330257
TOKA-016-10	0.8428571428571429	0.8623725671918443	0.7746478873239436	0.8680154142581888	0.7396301849075462	0.8614307153576788	0.0	0.7213302752293578	0.7866242038216561	0.8391840607210627	0.744661095636026	0.7875243664717348	0.7152899824253075	0.8470201783200375	0.7026450511945392	0.8473684210526315	0.8453333333333334	0.8874629812438302	0.8047846889952153	0.9016811003565971	0.7067553735926305	0.8004524886877828	0.6840877274848344	0.8562367864693446	0.8049547778214707	0.873471109236609	0.806761078117862	0.8534278959810875	0.8228448275862069	0.8986764034687358	0.8403662420382165	0.891425908667288	0.7306273062730627	0.7991949910554562	0.7079942556247009	0.7891093677895709	0.8479818936250472	0.9085365853658537	0.99848828420257	0.7871930669234473	0.7533535266118564	0.8378896882494005	0.7461285781323322	0.8300622307324078	0.7162615255658005	0.7745392198885555	0.6802554027504911	0.7527675276752768	0.7745851881829219	0.8570794496227253	0.770042194092827	0.8326947637292464	0.7623143080531666	0.8721742704480066	0.766855154414963	0.8597908745247148	0.7308052434456929	0.7844415471534115	0.6755218216318786	0.8137755102040817
TOKA-016-40	0.820341047503045	0.8372225384177575	0.8142189932537623	0.8346361996392062	0.7668030391583869	0.8066581306017926	0.7213302752293578	0.0	0.7489986648865153	0.7740963855421686	0.8142783238489395	0.7686832740213523	0.7477567298105683	0.804093567251462	0.7789131444496052	0.7863481228668942	0.8697001034126164	0.8551895587321318	0.7729411764705882	0.8563934426229508	0.7653239929947461	0.8007498660953402	0.7813765182186235	0.8241610738255034	0.8473014480035103	0.8521341463414634	0.8056460369163952	0.8221181977764774	0.8497023809523809	0.8598290598290599	0.8657596371882086	0.8721330275229358	0.8276553106212425	0.7909574468085107	0.7905869910100476	0.7765486725663717	0.8752660706683695	0.8955696202531646	0.9978046103183315	0.7742873763816173	0.8078223080637373	0.8219097832454598	0.7737384698860553	0.7766405779650812	0.7715477293790547	0.7572371762315896	0.7472466960352423	0.7328145265888456	0.8388814913448736	0.8333333333333334	0.7989443378119002	0.7958656330749354	0.8083080917351796	0.8351648351648352	0.7787298387096774	0.8186682520808561	0.7599784250269687	0.7744090441932169	0.7493431424067262	0.735624586913417
TOKA-018-10	0.8803370786516854	0.8757364756293519	0.8490658800393314	0.8866554997208264	0.7045454545454546	0.740983606557377	0.7866242038216561	0.7489986648865153	0.0	0.7195345988977342	0.7821576763485477	0.7611853573503777	0.7179231153270095	0.779198140615921	0.768348623853211	0.7981651376146789	0.8607723577235772	0.8218497827436375	0.7049576783555018	0.8204456094364351	0.7978959025470653	0.8090295796574987	0.793930494371023	0.8010610079575596	0.7898060442038791	0.8060856111397627	0.717453098351336	0.7483363581367211	0.8294726466239527	0.8716401535929786	0.8476791347453808	0.8366877515813687	0.8226044226044226	0.7780692549842603	0.8058103975535168	0.792332268370607	0.8435490784397771	0.8690163072067333	0.9979317476732161	0.761168384879725	0.8266728624535316	0.8361486486486487	0.786799371398638	0.7817969661610268	0.7559742647058824	0.7688145597638957	0.7338403041825095	0.7358490566037735	0.8161276030128489	0.7927094668117519	0.7963311382878645	0.7637305699481866	0.7353735373537353	0.785350966429298	0.7188630490956073	0.7889745109662122	0.7721584984358707	0.7933761739990114	0.7272727272727273	0.732947232947233
TOKA-018-40	0.8560807222517259	0.8142707240293809	0.8507119889756546	0.8211159737417943	0.8011334363730036	0.717016029593095	0.8391840607210627	0.7740963855421686	0.7195345988977342	0.0	0.8485543827443781	0.7103487064116986	0.7295158286778398	0.6373493975903615	0.8036990332072299	0.7095730918499353	0.893646408839779	0.8187033849684452	0.7332233223322332	0.7315653298835705	0.8374875373878365	0.7234927234927235	0.8260286225402504	0.7071569271175312	0.8065463701216954	0.7632367632367633	0.7737189244038559	0.7161773172135867	0.8566275924256087	0.8119978575254418	0.8763952046300124	0.8283261802575107	0.8765377855887522	0.7158329035585353	0.8492647058823529	0.7613462519122897	0.8708530805687204	0.8704789833822092	0.9991142604074402	0.7045707915273133	0.83873757025508	0.7670171555063642	0.8187887458273725	0.6878646441073513	0.8109452736318408	0.7265774378585086	0.8116356700047688	0.6984412470023981	0.8713147410358566	0.7731958762886598	0.8296041308089501	0.7018348623853211	0.7995959595959596	0.7027989821882952	0.7817258883248731	0.7477272727272727	0.775669099756691	0.7344357976653697	0.8130712979890311	0.6612193588937775
TOKA-022-10	0.9015945330296128	0.9066029539530843	0.8622680412371134	0.9164420485175202	0.7258382642998028	0.8414271555996036	0.744661095636026	0.8142783238489395	0.7821576763485477	0.8485543827443781	0.0	0.75	0.744322960470984	0.8744414655942806	0.7612774451097805	0.8807157057654076	0.829225352112676	0.8408408408408409	0.8081936685288641	0.8937655860349127	0.7862165963431786	0.8460229689493832	0.739833843463052	0.8665987780040734	0.7470707070707071	0.8473218051455083	0.7705747126436782	0.8318459370596524	0.8294216261525565	0.9058355437665783	0.7706611570247934	0.8651789865178987	0.6606377915278439	0.804092294296909	0.7540613718411552	0.8167400881057268	0.8138561096307575	0.8863833477883781	0.9985559566787003	0.8084025854108957	0.8256185155626496	0.871480472297911	0.8008771929824562	0.8603910868576625	0.750499800079968	0.8092132083163474	0.7267253358036128	0.8027613412228797	0.7525232135647961	0.8347326557666814	0.8063352044907779	0.8441879637262985	0.738569753810082	0.8739967897271268	0.7534423407917383	0.8505371321812237	0.8000865426222414	0.8396915584415584	0.6841862609497464	0.8252952755905512
TOKA-022-40	0.8453445554971067	0.7996870109546166	0.832415059687787	0.803921568627451	0.7906026557711952	0.7612375948628137	0.7875243664717348	0.7686832740213523	0.7611853573503777	0.7103487064116986	0.75	0.0	0.7258509659613616	0.6944444444444444	0.7782479898434194	0.7282948157401624	0.8840182648401826	0.8162344983089064	0.7785304846274101	0.7997601918465228	0.8146853146853147	0.6906135291033036	0.7793040293040293	0.7213740458015268	0.8038971807628524	0.7661764705882353	0.7855731225296443	0.7521978021978022	0.8561917443408789	0.8289269051321928	0.8475355054302423	0.8227513227513228	0.7994454713493531	0.6831425598335068	0.7875178656503097	0.6931216931216931	0.8724727838258165	0.8999064546304958	0.998289136013687	0.6868406440866185	0.8215211754537597	0.7429362880886426	0.8026628625772706	0.7018140589569161	0.7894298793175197	0.7246581801037246	0.7637872132747682	0.6949852507374631	0.841596130592503	0.7772727272727272	0.8389402859545837	0.7717133364973896	0.7889022919179735	0.7684260580123633	0.7857789855072463	0.7778987479586282	0.7490215264187867	0.7163671685284119	0.7747329307942405	0.6664619164619164
TOKA-029-10	0.8510917030567685	0.8422165820642978	0.8103035143769968	0.8521587440034889	0.730072463768116	0.793965110796794	0.7152899824253075	0.7477567298105683	0.7179231153270095	0.7295158286778398	0.744322960470984	0.7258509659613616	0.0	0.7532999544833865	0.643673469387755	0.7864506627393225	0.8544152744630071	0.8472727272727273	0.7544802867383512	0.842355175688509	0.7369604316546763	0.7545647558386412	0.7026348808030113	0.7920987654320988	0.7649683897359614	0.8121480289621883	0.7222958057395144	0.7695454545454545	0.8010346199761241	0.8628691983122363	0.8266617701065002	0.8450520833333334	0.7621379028967769	0.7486292703500632	0.7255237280889268	0.7506448839208942	0.8282402528977871	0.8870259481037924	0.9993773349937733	0.7365809652683807	0.7773482798608427	0.8125548726953468	0.7624633431085044	0.7737291947818263	0.6667995217218016	0.7036731324803962	0.6780943900267141	0.7151868025230471	0.77994839660892	0.7995798319327732	0.7684899845916795	0.7766990291262136	0.6954218690881574	0.8039525691699605	0.7225409836065574	0.804192685102587	0.7137945853029652	0.7554567502021019	0.6669557675628794	0.7496402877697842
TOKA-029-40	0.8610526315789474	0.7970323264440912	0.8618033529678296	0.8208061002178649	0.8436417615042059	0.7044609665427509	0.8470201783200375	0.804093567251462	0.779198140615921	0.6373493975903615	0.8744414655942806	0.6944444444444444	0.7532999544833865	0.0	0.8154292824554127	0.6730641958967571	0.9130630630630631	0.8376404494382023	0.7611140867702196	0.7184655396618985	0.8564453125	0.6966173361522199	0.8478355924792305	0.6997371879106439	0.8245469522240527	0.7729516288252715	0.8120411160058737	0.7351778656126482	0.8649130628622381	0.7982740021574973	0.901329037454692	0.8360742705570292	0.8834275772074816	0.7212276214833759	0.855191256830601	0.7453703703703703	0.8944123314065511	0.8931807343824512	0.9991220368744512	0.6953605366126328	0.8517887563884157	0.7525083612040134	0.8383932741709481	0.6735173223722842	0.8352893565358155	0.7254528122020972	0.8248003757632691	0.7033293697978596	0.8942045896538312	0.7983911513323279	0.8586956521739131	0.7163654618473896	0.8240631163708086	0.6923863055697497	0.8148479427549195	0.729776247848537	0.7761627906976745	0.702434177844014	0.8387527839643653	0.6481364497789008
TOKA-030-10	0.8346055979643766	0.8351020408163266	0.7791798107255521	0.857914416285833	0.7414907367514002	0.8364506307090039	0.7026450511945392	0.7789131444496052	0.768348623853211	0.8036990332072299	0.7612774451097805	0.7782479898434194	0.643673469387755	0.8154292824554127	0.0	0.7822201317027281	0.8604562737642586	0.878698224852071	0.7832843343133137	0.8719646799116998	0.7205946655006559	0.7741157556270096	0.7200795228628231	0.8428893905191873	0.7851590106007067	0.8566108007448789	0.7720228384991843	0.8203842940685045	0.7966166858900423	0.8720417168070598	0.841147655703289	0.8838891120932101	0.7705813499804917	0.8074245939675174	0.7261513157894737	0.7912834866053579	0.8358057990559676	0.9008702232311767	0.9988385598141696	0.75776926351639	0.7589860007567159	0.829045643153527	0.7299421009098428	0.796868387642827	0.696045197740113	0.7526799387442573	0.7109440267335004	0.7650736936132202	0.7950070323488045	0.848625629113434	0.7643549589858315	0.8097764304660856	0.7322190611664295	0.8432094221567906	0.7561538461538462	0.8499794492396219	0.7138130686517783	0.7597982149786574	0.6868312757201646	0.8021108179419525
TOKA-030-40	0.8361963190184049	0.7741738066095472	0.8463514902363823	0.801010739102969	0.8416340235030778	0.7523939808481532	0.8473684210526315	0.7863481228668942	0.7981651376146789	0.7095730918499353	0.8807157057654076	0.7282948157401624	0.7864506627393225	0.6730641958967571	0.7822201317027281	0.0	0.927536231884058	0.8558730158730159	0.7711711711711712	0.7359050445103857	0.850415512465374	0.6895113230035756	0.8648130393096836	0.7318518518518519	0.8476614699331848	0.8271670190274841	0.822246455834242	0.7676452217364147	0.8605	0.7728410513141427	0.9125055236411843	0.8730994152046784	0.8974113135186961	0.796875	0.8634294385432474	0.7763380281690141	0.9053428691628103	0.8974771873322598	0.9988532110091743	0.7209158415841584	0.8471760797342193	0.768125	0.8134687332977018	0.675531914893617	0.8426418439716312	0.7592783505154639	0.8401660612350804	0.7449180327868853	0.9107822410147992	0.8270718232044199	0.8717361429225836	0.7574606619641888	0.8436301661695782	0.755700325732899	0.83642578125	0.783125	0.7775974025974026	0.7262357414448669	0.8512518409425626	0.7073844030365769
TOKA-034-10	0.9249067164179104	0.9331858407079646	0.8973399833748961	0.9348729792147806	0.7799113737075333	0.8928571428571429	0.8453333333333334	0.8697001034126164	0.8607723577235772	0.893646408839779	0.829225352112676	0.8840182648401826	0.8544152744630071	0.9130630630630631	0.8604562737642586	0.927536231884058	0.0	0.799565453557849	0.8213256484149856	0.9213483146067416	0.8734119782214156	0.9164588528678305	0.8257191201353637	0.9298334174659263	0.8005606728073689	0.8840271877655055	0.8348457350272233	0.8863423760523854	0.8194200351493849	0.9098021168890934	0.8256242325010233	0.8912630579297246	0.8195292066259808	0.8856540084388186	0.8811630847029077	0.9049235993208828	0.7803889789303079	0.8123492522913651	0.9984362783424551	0.8871402877697842	0.8129707112970711	0.9072117593017914	0.8376824413976117	0.903107861060329	0.8581694402420574	0.8930397168698387	0.8315649867374005	0.8695228821811101	0.7775501843506759	0.8761101243339254	0.7357992073976222	0.8370689655172414	0.78046875	0.8875154511742892	0.7677704194260485	0.8688760806916427	0.8822296730930428	0.9005591054313099	0.798951048951049	0.8937924345295829
TOKA-034-40	0.9207484865162355	0.8970117395944504	0.908274231678487	0.9063545150501672	0.828116419549698	0.7724317295188556	0.8874629812438302	0.8551895587321318	0.8218497827436375	0.8187033849684452	0.8408408408408409	0.8162344983089064	0.8472727272727273	0.8376404494382023	0.878698224852071	0.8558730158730159	0.799565453557849	0.0	0.8004548038658329	0.8353096179183136	0.8911353032659409	0.8628140703517588	0.8630201028517999	0.8414872798434442	0.7971869328493648	0.7386740331491712	0.8170212765957446	0.7975206611570248	0.8692084942084942	0.8661814109742442	0.8272178355782629	0.7540675844806007	0.876959619952494	0.7986401673640168	0.8884078884078884	0.8444444444444444	0.841876629018245	0.8167597765363128	0.9989316239316239	0.8021360314783587	0.8678474114441417	0.8424345847554039	0.8754308222550468	0.843644544431946	0.8684433164128595	0.8464052287581699	0.8510744627686156	0.8141486810551559	0.8551604509973981	0.7218001168907072	0.8497951752389622	0.7897172236503857	0.840567612687813	0.7843137254901961	0.8161586840832123	0.7737804878048781	0.8651685393258427	0.8588346755092373	0.8392081120231772	0.7968944099378882
TOKA-041-10	0.8755736868944416	0.8576371725160653	0.8577181208053691	0.8836032388663968	0.6941241076331686	0.6904176904176904	0.8047846889952153	0.7729411764705882	0.7049576783555018	0.7332233223322332	0.8081936685288641	0.7785304846274101	0.7544802867383512	0.7611140867702196	0.7832843343133137	0.7711711711711712	0.8213256484149856	0.8004548038658329	0.0	0.7151979565772669	0.8161947342275211	0.7841901066925315	0.7945945945945946	0.7990487514863258	0.7274725274725274	0.7679180887372014	0.7271789582258896	0.7397790055248619	0.7837329572167372	0.8200728029121165	0.8370432591348173	0.8298429319371727	0.8204432383536862	0.7847919655667145	0.8386363636363636	0.808837656099904	0.7880049979175343	0.8254599701640974	0.998303647158609	0.732657417289221	0.799034664326459	0.8191709844559586	0.7857829010566763	0.7594390507011867	0.7842565597667639	0.7675896504766228	0.7732754462132175	0.7579653437674678	0.8175481754817548	0.7672413793103449	0.7312271062271062	0.6724578436382218	0.7281144781144782	0.7261146496815286	0.6750369276218612	0.71875	0.7880075542965062	0.7648975791433892	0.7462121212121212	0.7260514018691588
