"TomKat soil samples collected January-February 2015, following RMN protocol. ",,,,,,,,,,,,,,,
"Dataset includes 30 grassland points and 10 scrub points, totaling 40 points overall",,,,,,,,,,,,,,,
Samples were Processed at U of Idaho,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Units:,ug/g,%,,,,,cmol(+)/kg,,,,,%,
Point ID ,CollectDate,Depth (cm),Olsen P,Sand,Silt,Clay,Texture,pH,CEC,Calcium,Magnesium,Potassium,Sodium,Total Org Carbon,Total Nitrogen
TOKA-001,17-Feb-15,10 to 40,< 2.0,55,23.8,21.5,Sandy Clay Loam,5.8,23,9,8.2,0.39,0.25,1.6,0.12
TOKA-006,19-Jan-15,10 to 40,< 2.0,33.8,43.8,22.5,Loam,5.4,20,5.5,4.6,0.33,0.48,2,0.16
TOKA-007,19-Jan-15,10 to 40,< 2.0,33.8,38.8,27.5,Clay Loam,5.1,22,5.1,7.2,0.59,0.76,1.4,0.13
TOKA-013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-016,19-Jan-15,10 to 40,3,25,40,35,Clay Loam,5.7,42,13,13,0.66,0.61,2.2,0.21
TOKA-018,19-Jan-15,10 to 40,< 2.0,21.9,40,38.1,Clay Loam,5.8,32,9.8,8.7,0.54,0.73,2.4,0.21
TOKA-020,17-Feb-15,10 to 40,4,33.8,35,31.2,Clay Loam,5.7,40,18,11,0.6,0.21,2,0.18
TOKA-022,19-Jan-15,10 to 40,2.2,21.2,35,43.8,Clay,5.2,41,13,12,0.58,0.62,2.1,0.19
TOKA-029,19-Jan-15,10 to 40,2.5,20,40,40,Clay Loam,5.2,33,9.5,8.8,0.77,0.65,2.7,0.22
TOKA-030,19-Jan-15,10 to 40,3.5,21.2,41.2,37.5,Clay Loam,5.6,36,8,6.4,0.85,0.42,2.8,0.24
TOKA-034,19-Jan-15,10 to 40,21,41.2,42.5,16.2,Loam,5.7,49,20,10,0.72,0.69,2.9,0.27
TOKA-035,17-Feb-15,10 to 40,4.4,48.8,25,26.2,Sandy Clay Loam,5.9,38,22,10,0.49,0.31,1.8,0.16
TOKA-041,19-Jan-15,10 to 40,4.6,23.8,41.2,35,Clay Loam,5.7,30,10,4.8,0.63,0.39,2.7,0.27
TOKA-045,17-Feb-15,10 to 40,2.9,32.5,31.2,36.2,Clay Loam,5.7,44,18,12,0.69,0.14,2.1,0.22
TOKA-055,17-Feb-15,10 to 40,3.9,25,36.2,38.8,Clay Loam,5,26,8.1,5.1,0.75,0.15,2.5,0.26
TOKA-057,19-Jan-15,10 to 40,< 2.0,21.2,38.8,40,Clay,5.8,28,10,6.4,0.48,0.52,2.2,0.23
TOKA-060,19-Jan-15,10 to 40,6.2,39.4,28.8,31.9,Clay Loam,5.7,37,17,8.4,0.67,0.36,2.4,0.23
TOKA-061,19-Jan-15,10 to 40,3.1,25,32.5,42.5,Clay,5.9,33,12,7.4,0.76,0.33,2.2,0.22
TOKA-064,19-Jan-15,10 to 40,19,27.5,32.5,40,Clay,5.5,38,13,4.8,1.9,0.1,5.1,0.48
TOKA-067,17-Feb-15,10 to 40,3.6,17.5,31.2,51.2,Clay,5.7,58,24,15,0.64,0.6,2.3,0.24
TOKA-068,19-Jan-15,10 to 40,5,23.8,37.5,38.8,Clay Loam,5.5,36,14,9.1,0.44,0.41,2.2,0.26
TOKA-071,17-Feb-15,10 to 40,11,22.5,37.5,40,Clay Loam,5.6,60,17,12,1.2,0.28,3.8,0.3
TOKA-072,17-Feb-15,10 to 40,2.3,20,40,40,Clay Loam,5.4,24,5,5.8,1,0.17,2.3,0.24
TOKA-080,19-Jan-15,10 to 40,5,21.2,35,43.8,Clay,5.2,42,13,11,0.65,0.45,1.8,0.2
TOKA-089,17-Feb-15,10 to 40,21,QNS,QNS,QNS,QNS,6.1,62,21,8.7,0.85,0.21,5.9,0.41
TOKA-091,17-Feb-15,10 to 40,4.4,26.2,40,33.8,Clay Loam,5.9,39,16,8.5,0.59,0.27,2.5,0.25
TOKA-099,19-Jan-15,10 to 40,3.7,41.9,29.4,28.8,Clay Loam,5.5,34,14,8.8,0.72,0.22,2,0.21
TOKA-104,19-Jan-15,10 to 40,3.2,40,41.2,18.8,Loam,5,19,6.4,4,0.2,0.28,1.8,0.14
TOKA-111,19-Jan-15,10 to 40,2.1,47.5,26.2,26.2,Loam,5.4,22,6.2,6.9,0.37,0.42,1.7,0.13
TOKA-115,19-Jan-15,10 to 40,2.4,25,33.8,41.2,Clay,5.4,37,11,11,0.8,0.41,2.4,0.24
TOKA-119,19-Jan-15,10 to 40,5.4,23.8,41.2,35,Clay Loam,5.3,40,12,12,0.68,0.53,2.1,0.19
TOKA-122,17-Feb-15,10 to 40,5.3,30,35,35,Clay Loam,6.1,39,16,13,0.75,0.5,1.5,0.16
TOKA-126,19-Jan-15,10 to 40,2.4,23.8,37.5,38.8,Clay Loam,5.6,40,16,11,0.7,0.46,2.6,0.25
TOKA-129,19-Jan-15,10 to 40,3.5,21.2,41.2,37.5,Clay Loam,5.5,35,12,7.1,0.59,0.35,2.6,0.25
TOKA-135,19-Jan-15,10 to 40,3.9,29.4,36.9,33.8,Clay Loam,5.6,29,12,5.8,0.59,0.34,2.2,0.21
TOKA-137,19-Jan-15,10 to 40,2.7,38.8,28.8,32.5,Clay Loam,5.7,39,15,8.2,0.36,0.44,2.6,0.21
TOKA-147,17-Feb-15,10 to 40,2.8,43.8,26.2,30,Clay Loam,6.3,40,17,13,0.41,0.24,1.7,0.15
TOKA-154,17-Feb-15,10 to 40,3.3,17.5,40,42.5,Silty Clay,5.4,47,15,11,0.57,0.33,1.9,0.24
TOKA-161,17-Feb-15,10 to 40,< 2.0,17.5,40,42.5,Silty Clay,5.3,34,10,8.7,0.68,0.38,2.2,0.25
TOKA-169,19-Jan-15,10 to 40,4.7,26.2,32.5,41.2,Clay Loam,5,33,8.8,8.5,0.79,0.37,2,0.22
TOKA-170,19-Jan-15,10 to 40,2.2,37.5,32.5,30,Clay Loam,5.3,34,13,8.2,0.54,0.35,2.3,0.2